score_key,display_title,director,year
Midsommar,,Ari Aster,2019
Moneyball,,Bennett Miller,2011
The Holy Mountain,,Alejandro Jodorowsky,1973
The Last Detail,,Hal Ashby,1973
Mongol,,Sergei Bodrov,2007
Shoplifters,,Hirokazu Kore-eda,2018
Citizen Kane,,Orson Welles,1941
Master and Commander,,Peter Weir,2003
Grave of The Fireflies,Grave of the Fireflies,Isao Takahata,1988
Argentina 1985,,Santiago Mitre,2022
First Cow,,Kelly Reichardt,2019
Theeb,,Naji Abu Nowar,2014
Swimming Pool,,François Ozon,2003
12 Angry Men,,Sidney Lumet,1957
Hero,,Zhang Yimou,2002
The Fugitive,,Andrew Davis,1993
Tsotsi,,Gavin Hood,2005
The Land,,Youssef Chahine,1969
Eye In The Sky,Eye in the Sky,Gavin Hood,2015
The Manchurian Candidate,,John Frankenheimer,1962
Gaslight,,George Cukor,1944
200 Meters,,Ameen Nayfeh,2020
Society Of The Snow,Society of the Snow,J. A. Bayona,2023
Moon,,Duncan Jones,2009
Loving Vincent,,Dorota Kobiela & Hugh Welchman,2017
Nairobi Half Life,,David 'Tosh' Gitonga,2012
Persona,,Ingmar Bergman,1966
Se7en,,David Fincher,1995
The Handmaiden,,Park Chan-wook,2016
Throne Of Blood,Throne of Blood,Akira Kurosawa,1957
Ladri Di Biciclette,Ladri di Biciclette,Vittorio De Sica,1948
In Bruges,,Martin McDonagh,2008
La Noire De,La Noire de…,Ousmane Sembène,1966
Blindspotting,,Carlos López Estrada,2018
The Report,,Scott Z. Burns,2019
Mickey 17,,Bong Joon-ho,2025
The Eight Mountains,,Felix van Groeningen & Charlotte Vandermeersch,2022
Bugonia,,Yorgos Lanthimos,2025
Frankenstein,,Guillermo del Toro,2025
Bab'Aziz,,Nacer Khemir,2005
