date,user,movie,list_user,Metric,metric_order,Score
22/04/2022,KS,Midsommar,Zelie,enjoyable,1,5
22/04/2022,KS,Midsommar,Zelie,plot,2,1
22/04/2022,KS,Midsommar,Zelie,acting,3,1
22/04/2022,KS,Midsommar,Zelie,camera,4,1
22/04/2022,KS,Midsommar,Zelie,themes,5,0.3
22/04/2022,KS,Midsommar,Zelie,music,6,0.5
22/04/2022,KS,Midsommar,Zelie,casting,7,0.3
22/04/2022,KS,Midsommar,Zelie,wildcard,8,-0.3
22/04/2022,MA,Midsommar,Zelie,enjoyable,1,5
22/04/2022,MA,Midsommar,Zelie,plot,2,1
22/04/2022,MA,Midsommar,Zelie,acting,3,0.5
22/04/2022,MA,Midsommar,Zelie,camera,4,1
22/04/2022,MA,Midsommar,Zelie,themes,5,0.3
22/04/2022,MA,Midsommar,Zelie,music,6,0.5
22/04/2022,MA,Midsommar,Zelie,casting,7,0
22/04/2022,MA,Midsommar,Zelie,wildcard,8,0.5
22/04/2022,YA,Midsommar,Zelie,enjoyable,1,5
22/04/2022,YA,Midsommar,Zelie,plot,2,1.25
22/04/2022,YA,Midsommar,Zelie,acting,3,0.75
22/04/2022,YA,Midsommar,Zelie,camera,4,1
22/04/2022,YA,Midsommar,Zelie,themes,5,0.25
22/04/2022,YA,Midsommar,Zelie,music,6,0.5
22/04/2022,YA,Midsommar,Zelie,casting,7,0.3
22/04/2022,YA,Midsommar,Zelie,wildcard,8,0.25
22/04/2022,ZA,Midsommar,Zelie,enjoyable,1,5
22/04/2022,ZA,Midsommar,Zelie,plot,2,1.5
22/04/2022,ZA,Midsommar,Zelie,acting,3,1
22/04/2022,ZA,Midsommar,Zelie,camera,4,1
22/04/2022,ZA,Midsommar,Zelie,themes,5,0.5
22/04/2022,ZA,Midsommar,Zelie,music,6,0.5
22/04/2022,ZA,Midsommar,Zelie,casting,7,0.4
22/04/2022,ZA,Midsommar,Zelie,wildcard,8,0.5
22/04/2022,TS,Midsommar,Zelie,enjoyable,1,5
22/04/2022,TS,Midsommar,Zelie,plot,2,0.5
22/04/2022,TS,Midsommar,Zelie,acting,3,1
22/04/2022,TS,Midsommar,Zelie,camera,4,1
22/04/2022,TS,Midsommar,Zelie,themes,5,0.2
22/04/2022,TS,Midsommar,Zelie,music,6,0.5
22/04/2022,TS,Midsommar,Zelie,casting,7,0.5
22/04/2022,TS,Midsommar,Zelie,wildcard,8,0.2
01/05/2022,MA,Moneyball,Yasin,enjoyable,1,5
01/05/2022,MA,Moneyball,Yasin,plot,2,2
01/05/2022,MA,Moneyball,Yasin,acting,3,1
01/05/2022,MA,Moneyball,Yasin,camera,4,0.75
01/05/2022,MA,Moneyball,Yasin,themes,5,0.3
01/05/2022,MA,Moneyball,Yasin,music,6,0.2
01/05/2022,MA,Moneyball,Yasin,casting,7,0.3
01/05/2022,MA,Moneyball,Yasin,wildcard,8,0.3
01/05/2022,YA,Moneyball,Yasin,enjoyable,1,5
01/05/2022,YA,Moneyball,Yasin,plot,2,2
01/05/2022,YA,Moneyball,Yasin,acting,3,1.5
01/05/2022,YA,Moneyball,Yasin,camera,4,0.3
01/05/2022,YA,Moneyball,Yasin,themes,5,0.3
01/05/2022,YA,Moneyball,Yasin,music,6,0.25
01/05/2022,YA,Moneyball,Yasin,casting,7,0.4
01/05/2022,YA,Moneyball,Yasin,wildcard,8,0.5
01/05/2022,ZA,Moneyball,Yasin,enjoyable,1,5
01/05/2022,ZA,Moneyball,Yasin,plot,2,0.1
01/05/2022,ZA,Moneyball,Yasin,acting,3,0.2
01/05/2022,ZA,Moneyball,Yasin,camera,4,0.05
01/05/2022,ZA,Moneyball,Yasin,themes,5,0.1
01/05/2022,ZA,Moneyball,Yasin,music,6,0
01/05/2022,ZA,Moneyball,Yasin,casting,7,0.05
01/05/2022,ZA,Moneyball,Yasin,wildcard,8,-0.05
01/05/2022,KS,Moneyball,Yasin,enjoyable,1,5
01/05/2022,KS,Moneyball,Yasin,plot,2,1.5
01/05/2022,KS,Moneyball,Yasin,acting,3,1.3
01/05/2022,KS,Moneyball,Yasin,camera,4,0.4
01/05/2022,KS,Moneyball,Yasin,themes,5,0.2
01/05/2022,KS,Moneyball,Yasin,music,6,0
01/05/2022,KS,Moneyball,Yasin,casting,7,0.4
01/05/2022,KS,Moneyball,Yasin,wildcard,8,0.1
01/05/2022,TS,Moneyball,Yasin,enjoyable,1,5
01/05/2022,TS,Moneyball,Yasin,plot,2,1.5
01/05/2022,TS,Moneyball,Yasin,acting,3,1.3
01/05/2022,TS,Moneyball,Yasin,camera,4,0.6
01/05/2022,TS,Moneyball,Yasin,themes,5,0.4
01/05/2022,TS,Moneyball,Yasin,music,6,0.2
01/05/2022,TS,Moneyball,Yasin,casting,7,0.5
01/05/2022,TS,Moneyball,Yasin,wildcard,8,0.5
23/06/2022,MA,The Holy Mountain,Krishan,enjoyable,1,0
23/06/2022,MA,The Holy Mountain,Krishan,plot,2,0.2
23/06/2022,MA,The Holy Mountain,Krishan,acting,3,0
23/06/2022,MA,The Holy Mountain,Krishan,camera,4,0.8
23/06/2022,MA,The Holy Mountain,Krishan,themes,5,0.3
23/06/2022,MA,The Holy Mountain,Krishan,music,6,0.3
23/06/2022,MA,The Holy Mountain,Krishan,casting,7,0.1
23/06/2022,MA,The Holy Mountain,Krishan,wildcard,8,0
23/06/2022,YA,The Holy Mountain,Krishan,enjoyable,1,0
23/06/2022,YA,The Holy Mountain,Krishan,plot,2,0
23/06/2022,YA,The Holy Mountain,Krishan,acting,3,0.25
23/06/2022,YA,The Holy Mountain,Krishan,camera,4,0.25
23/06/2022,YA,The Holy Mountain,Krishan,themes,5,0.25
23/06/2022,YA,The Holy Mountain,Krishan,music,6,0.2
23/06/2022,YA,The Holy Mountain,Krishan,casting,7,0
23/06/2022,YA,The Holy Mountain,Krishan,wildcard,8,0.1
23/06/2022,ZA,The Holy Mountain,Krishan,enjoyable,1,5
23/06/2022,ZA,The Holy Mountain,Krishan,plot,2,0.3
23/06/2022,ZA,The Holy Mountain,Krishan,acting,3,0.4
23/06/2022,ZA,The Holy Mountain,Krishan,camera,4,0.6
23/06/2022,ZA,The Holy Mountain,Krishan,themes,5,0.5
23/06/2022,ZA,The Holy Mountain,Krishan,music,6,0.5
23/06/2022,ZA,The Holy Mountain,Krishan,casting,7,0.4
23/06/2022,ZA,The Holy Mountain,Krishan,wildcard,8,0.2
23/06/2022,EK,The Holy Mountain,Krishan,enjoyable,1,0
23/06/2022,EK,The Holy Mountain,Krishan,plot,2,0.5
